Serial Number:20680157 --

"Date Time, GMT -0400","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","Stopped","EOF"
2019-09-25 08:20:00,70.84,13, , , , , 
2019-09-25 08:30:00,70.84,16, , , , , 
2019-09-25 08:40:00,70.91,16, , , , , 
2019-09-25 08:50:00,71.07,16, , , , , 
2019-09-25 09:00:00,71.15,18, , , , , 
2019-09-25 09:10:00,71.22,21, , , , , 
2019-09-25 09:20:00,71.45,17, , , , , 
2019-09-25 09:30:00,71.53,26, , , , , 
2019-09-25 09:40:00,71.61,21, , , , , 
2019-09-25 09:50:00,71.61,20, , , , , 
2019-09-25 10:00:00,71.69,21, , , , , 
2019-09-25 10:10:00,71.61,21, , , , , 
2019-09-25 10:20:00,71.61,20, , , , , 
2019-09-25 10:30:00,71.45,21, , , , , 
2019-09-25 10:40:00,71.30,22, , , , , 
2019-09-25 10:50:00,71.15,20, , , , , 
2019-09-25 11:00:00,71.15,25, , , , , 
2019-09-25 11:10:00,71.07,23, , , , , 
2019-09-25 11:20:00,70.91,23, , , , , 
2019-09-25 11:30:00,70.91,22, , , , , 
2019-09-25 11:40:00,70.76,23, , , , , 
2019-09-25 11:50:00,70.30,23, , , , , 
2019-09-25 12:00:00,69.52,23, , , , , 
2019-09-25 12:10:00,69.29,23, , , , , 
2019-09-25 12:20:00,69.06,26, , , , , 
2019-09-25 12:30:00,68.98,25, , , , , 
2019-09-25 12:40:00,69.14,23, , , , , 
2019-09-25 12:50:00,69.29,23, , , , , 
2019-09-25 13:00:00,69.60,23, , , , , 
2019-09-25 13:10:00,69.76,23, , , , , 
2019-09-25 13:20:00,70.06,24, , , , , 
2019-09-25 13:30:00,70.14,23, , , , , 
2019-09-25 13:40:00,70.14,22, , , , , 
2019-09-25 13:50:00,70.45,22, , , , , 
2019-09-25 14:00:00,70.84,22, , , , , 
2019-09-25 14:10:00,71.15,22, , , , , 
2019-09-25 14:20:00,71.15,21, , , , , 
2019-09-25 14:30:00,71.22,21, , , , , 
2019-09-25 14:40:00,71.30,21, , , , , 
2019-09-25 14:50:00,71.38,21, , , , , 
2019-09-25 15:00:00,71.45,18, , , , , 
2019-09-25 15:10:00,71.22,21, , , , , 
2019-09-25 15:20:00,70.53,21, , , , , 
2019-09-25 15:30:00,70.30,20, , , , , 
2019-09-25 15:40:00,70.14,20, , , , , 
2019-09-25 15:50:00,70.14,20, , , , , 
2019-09-25 16:00:00,69.99,19, , , , , 
2019-09-25 16:10:00,69.91,19, , , , , 
2019-09-25 16:20:00,69.91,19, , , , , 
2019-09-25 16:30:00,69.76,19, , , , , 
2019-09-25 16:40:00,69.52,18, , , , , 
2019-09-25 16:50:00,69.45,18, , , , , 
2019-09-25 17:00:00,69.45,18, , , , , 
2019-09-25 17:10:00,69.37,18, , , , , 
2019-09-25 17:20:00,69.37,18, , , , , 
2019-09-25 17:30:00,69.14,18, , , , , 
2019-09-25 17:40:00,69.29,18, , , , , 
2019-09-25 17:50:00,69.37,19, , , , , 
2019-09-25 18:00:00,69.29,19, , , , , 
2019-09-25 18:10:00,69.37,19, , , , , 
2019-09-25 18:20:00,69.37,18, , , , , 
2019-09-25 18:30:00,69.45,17, , , , , 
2019-09-25 18:40:00,69.52,16, , , , , 
2019-09-25 18:50:00,69.52,10, , , , , 
2019-09-25 19:00:00,69.37,3, , , , , 
2019-09-25 19:10:00,69.37,1, , , , , 
2019-09-25 19:20:00,69.29,0, , , , , 
2019-09-25 19:30:00,69.14,0, , , , , 
2019-09-25 19:40:00,69.06,0, , , , , 
2019-09-25 19:50:00,69.06,0, , , , , 
2019-09-25 20:00:00,68.91,0, , , , , 
2019-09-25 20:10:00,68.91,0, , , , , 
2019-09-25 20:20:00,68.98,0, , , , , 
2019-09-25 20:30:00,68.98,0, , , , , 
2019-09-25 20:40:00,68.98,0, , , , , 
2019-09-25 20:50:00,68.98,0, , , , , 
2019-09-25 21:00:00,68.91,0, , , , , 
2019-09-25 21:10:00,68.91,0, , , , , 
